NUM_LAYERS: 2, DROPOUT: 0.2, WEIGHT_DECAY: 0.001, HIDDEN_SIZE: 128, LR: 0.0001
tensor(1.6397, grad_fn=<NllLossBackward0>)
tensor(1.6587, grad_fn=<NllLossBackward0>)
tensor(1.6225, grad_fn=<NllLossBackward0>)
tensor(1.5362, grad_fn=<NllLossBackward0>)
tensor(1.5808, grad_fn=<NllLossBackward0>)
tensor(1.5728, grad_fn=<NllLossBackward0>)
tensor(1.5582, grad_fn=<NllLossBackward0>)
tensor(1.6159, grad_fn=<NllLossBackward0>)
tensor(1.6221, grad_fn=<NllLossBackward0>)
tensor(1.5739, grad_fn=<NllLossBackward0>)
tensor(1.5973, grad_fn=<NllLossBackward0>)
tensor(1.6002, grad_fn=<NllLossBackward0>)
tensor(1.6251, grad_fn=<NllLossBackward0>)
tensor(1.6054, grad_fn=<NllLossBackward0>)
tensor(1.6080, grad_fn=<NllLossBackward0>)
tensor(1.6025, grad_fn=<NllLossBackward0>)
tensor(1.5680, grad_fn=<NllLossBackward0>)
tensor(1.6660, grad_fn=<NllLossBackward0>)
tensor(1.5289, grad_fn=<NllLossBackward0>)
tensor(1.5288, grad_fn=<NllLossBackward0>)
tensor(1.5038, grad_fn=<NllLossBackward0>)
tensor(1.5822, grad_fn=<NllLossBackward0>)
tensor(1.5792, grad_fn=<NllLossBackward0>)
tensor(1.5776, grad_fn=<NllLossBackward0>)
tensor(1.5706, grad_fn=<NllLossBackward0>)
tensor(1.5843, grad_fn=<NllLossBackward0>)
tensor(1.5899, grad_fn=<NllLossBackward0>)
tensor(1.5816, grad_fn=<NllLossBackward0>)
tensor(1.5393, grad_fn=<NllLossBackward0>)
tensor(1.5915, grad_fn=<NllLossBackward0>)
tensor(1.5941, grad_fn=<NllLossBackward0>)
tensor(1.5061, grad_fn=<NllLossBackward0>)
tensor(1.5596, grad_fn=<NllLossBackward0>)
tensor(1.5309, grad_fn=<NllLossBackward0>)
tensor(1.5422, grad_fn=<NllLossBackward0>)
tensor(1.5710, grad_fn=<NllLossBackward0>)
tensor(1.5518, grad_fn=<NllLossBackward0>)
tensor(1.5835, grad_fn=<NllLossBackward0>)
tensor(1.5618, grad_fn=<NllLossBackward0>)
tensor(1.4871, grad_fn=<NllLossBackward0>)
tensor(1.5824, grad_fn=<NllLossBackward0>)
tensor(1.5047, grad_fn=<NllLossBackward0>)
tensor(1.5021, grad_fn=<NllLossBackward0>)
tensor(1.5137, grad_fn=<NllLossBackward0>)
tensor(1.5261, grad_fn=<NllLossBackward0>)
tensor(1.5237, grad_fn=<NllLossBackward0>)
tensor(1.5887, grad_fn=<NllLossBackward0>)
tensor(1.5240, grad_fn=<NllLossBackward0>)
tensor(1.4439, grad_fn=<NllLossBackward0>)
tensor(1.5164, grad_fn=<NllLossBackward0>)
tensor(1.4815, grad_fn=<NllLossBackward0>)
tensor(1.6020, grad_fn=<NllLossBackward0>)
tensor(1.4798, grad_fn=<NllLossBackward0>)
tensor(1.5686, grad_fn=<NllLossBackward0>)
tensor(1.5398, grad_fn=<NllLossBackward0>)
tensor(1.4689, grad_fn=<NllLossBackward0>)
tensor(1.4570, grad_fn=<NllLossBackward0>)
tensor(1.5808, grad_fn=<NllLossBackward0>)
tensor(1.5216, grad_fn=<NllLossBackward0>)
tensor(1.4093, grad_fn=<NllLossBackward0>)
tensor(1.5386, grad_fn=<NllLossBackward0>)
tensor(1.3986, grad_fn=<NllLossBackward0>)
tensor(1.5392, grad_fn=<NllLossBackward0>)
tensor(1.5377, grad_fn=<NllLossBackward0>)
tensor(1.4972, grad_fn=<NllLossBackward0>)
tensor(1.4172, grad_fn=<NllLossBackward0>)
tensor(1.5311, grad_fn=<NllLossBackward0>)
tensor(1.4332, grad_fn=<NllLossBackward0>)
tensor(1.4226, grad_fn=<NllLossBackward0>)
tensor(1.4462, grad_fn=<NllLossBackward0>)
tensor(1.4943, grad_fn=<NllLossBackward0>)
tensor(1.4061, grad_fn=<NllLossBackward0>)
tensor(1.3954, grad_fn=<NllLossBackward0>)
tensor(1.4382, grad_fn=<NllLossBackward0>)
tensor(1.4756, grad_fn=<NllLossBackward0>)
tensor(1.4141, grad_fn=<NllLossBackward0>)
tensor(1.3603, grad_fn=<NllLossBackward0>)
tensor(1.2745, grad_fn=<NllLossBackward0>)
tensor(1.5040, grad_fn=<NllLossBackward0>)
tensor(1.2883, grad_fn=<NllLossBackward0>)
tensor(1.4672, grad_fn=<NllLossBackward0>)
tensor(1.5169, grad_fn=<NllLossBackward0>)
tensor(1.3255, grad_fn=<NllLossBackward0>)
tensor(1.5226, grad_fn=<NllLossBackward0>)
tensor(1.4673, grad_fn=<NllLossBackward0>)
tensor(1.5876, grad_fn=<NllLossBackward0>)
tensor(1.2785, grad_fn=<NllLossBackward0>)
tensor(1.5302, grad_fn=<NllLossBackward0>)
tensor(1.3724, grad_fn=<NllLossBackward0>)
tensor(1.2665, grad_fn=<NllLossBackward0>)
tensor(1.2313, grad_fn=<NllLossBackward0>)
tensor(1.4213, grad_fn=<NllLossBackward0>)
tensor(1.3575, grad_fn=<NllLossBackward0>)
tensor(1.4059, grad_fn=<NllLossBackward0>)
tensor(1.2524, grad_fn=<NllLossBackward0>)
tensor(1.3598, grad_fn=<NllLossBackward0>)
tensor(1.4110, grad_fn=<NllLossBackward0>)
tensor(1.3851, grad_fn=<NllLossBackward0>)
tensor(1.3736, grad_fn=<NllLossBackward0>)
tensor(1.2836, grad_fn=<NllLossBackward0>)
tensor(1.2554, grad_fn=<NllLossBackward0>)
tensor(1.2678, grad_fn=<NllLossBackward0>)
